                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.78249,                0.42718,                 1.1146,                0.88494,                0.89882,                0.94412,                0.61805,                 1.2278,                0.52404,                 1.5225,             0.00041088,             0.00041088,             0.00041088
                     59,                0.76163,                0.41214,                 1.0941,                0.90371,                0.93239,                0.95285,                0.64116,                 1.2128,                0.51082,                   1.53,             0.00041045,             0.00041045,             0.00041045
                     60,                0.77637,                0.41964,                 1.1076,                0.87659,                 0.9237,                0.93213,                0.61794,                 1.2367,                0.50924,                 1.5542,             0.00041002,             0.00041002,             0.00041002
                     61,                0.74885,                0.40953,                 1.0837,                0.89763,                0.88329,                0.93307,                 0.6104,                  1.226,                0.49866,                  1.575,             0.00040959,             0.00040959,             0.00040959
                     62,                0.76233,                0.40546,                 1.0847,                0.89419,                0.90752,                0.93182,                0.61893,                 1.2276,                 0.5147,                  1.577,             0.00040916,             0.00040916,             0.00040916
                     63,                0.74307,                0.39598,                 1.0829,                0.88272,                0.89193,                0.92803,                0.61437,                  1.243,                0.54506,                 1.5924,             0.00040873,             0.00040873,             0.00040873
                     64,                0.73669,                 0.4035,                 1.0877,                0.85003,                0.91312,                0.91951,                0.60695,                 1.2438,                0.57017,                 1.5826,              0.0004083,              0.0004083,              0.0004083
                     65,                0.74244,                0.39939,                 1.0758,                0.89159,                0.91068,                0.93976,                0.61983,                 1.2569,                0.54128,                 1.6132,             0.00040787,             0.00040787,             0.00040787
                     66,                0.74481,                0.40107,                 1.0807,                0.87737,                0.92447,                0.94462,                0.62672,                  1.258,                0.54303,                 1.6275,             0.00040744,             0.00040744,             0.00040744
                     67,                0.73031,                0.39728,                 1.0698,                0.84686,                0.93264,                0.93345,                0.62786,                 1.2443,                0.54068,                 1.6083,             0.00040701,             0.00040701,             0.00040701
                     68,                0.73502,                0.39732,                 1.0881,                0.91481,                 0.9157,                0.93105,                 0.6092,                 1.2463,                0.54019,                  1.606,             0.00040658,             0.00040658,             0.00040658
                     69,                 0.7072,                0.38669,                 1.0678,                0.88945,                0.89416,                0.92446,                0.61515,                 1.2551,                0.54927,                 1.6368,             0.00040615,             0.00040615,             0.00040615
                     70,                0.73441,                0.39285,                 1.0801,                0.87371,                 0.9354,                0.92672,                0.61055,                 1.2454,                0.54772,                 1.6391,             0.00040572,             0.00040572,             0.00040572
                     71,                0.71673,                0.38201,                  1.074,                0.89389,                 0.9044,                 0.9307,                0.61535,                 1.2622,                0.52318,                 1.6456,             0.00040529,             0.00040529,             0.00040529
                     72,                0.70019,                0.37472,                 1.0613,                0.88679,                0.88983,                0.93214,                0.62038,                 1.2391,                0.53264,                 1.6335,             0.00040485,             0.00040485,             0.00040485
                     73,                0.69927,                0.37223,                 1.0574,                0.89661,                0.88839,                0.92841,                0.60852,                 1.2451,                0.51903,                 1.5991,             0.00040442,             0.00040442,             0.00040442
                     74,                0.69525,                0.37179,                   1.06,                0.89912,                0.89076,                0.92977,                0.61388,                 1.2562,                 0.5238,                 1.6474,             0.00040399,             0.00040399,             0.00040399
                     75,                0.68178,                0.37445,                 1.0484,                0.90671,                0.92559,                0.93791,                0.58651,                  1.243,                0.54994,                 1.6388,             0.00040356,             0.00040356,             0.00040356
                     76,                0.68568,                0.37587,                 1.0541,                0.90444,                0.91122,                0.93844,                0.62014,                 1.2331,                0.52756,                 1.6522,             0.00040313,             0.00040313,             0.00040313
                     77,                0.67348,                 0.3665,                 1.0472,                0.87228,                0.94671,                0.94252,                0.62393,                 1.2364,                0.52135,                  1.638,              0.0004027,              0.0004027,              0.0004027
                     78,                0.68843,                0.37322,                 1.0452,                0.90263,                0.91984,                 0.9408,                0.61384,                 1.2564,                0.50491,                 1.6677,             0.00040227,             0.00040227,             0.00040227
                     79,                0.69096,                0.37646,                 1.0592,                0.88502,                0.90138,                0.92889,                0.61343,                 1.2454,                0.54151,                 1.6779,             0.00040184,             0.00040184,             0.00040184
                     80,                0.68951,                0.38037,                 1.0646,                0.87096,                0.94298,                0.93218,                0.62318,                 1.2215,                0.53491,                 1.6162,             0.00040141,             0.00040141,             0.00040141
                     81,                0.67378,                0.37399,                 1.0388,                0.87394,                 0.9243,                0.91796,                0.61929,                 1.1934,                0.53217,                 1.6011,             0.00040098,             0.00040098,             0.00040098
                     82,                0.66388,                0.35973,                 1.0287,                0.91392,                0.91615,                0.92831,                0.62372,                 1.2247,                0.51421,                 1.6293,             0.00040055,             0.00040055,             0.00040055
                     83,                0.64829,                0.35828,                 1.0326,                0.92328,                0.90136,                0.94907,                0.62506,                   1.26,                0.52975,                 1.6777,             0.00040012,             0.00040012,             0.00040012
                     84,                0.64185,                0.35286,                 1.0206,                0.91016,                0.92331,                0.94493,                0.61319,                 1.2473,                0.54719,                 1.6992,             0.00039969,             0.00039969,             0.00039969
                     85,                 0.6392,                  0.352,                 1.0336,                0.90347,                0.90792,                0.95136,                0.62633,                 1.2521,                0.52514,                 1.7152,             0.00039926,             0.00039926,             0.00039926
                     86,                0.65132,                0.35582,                 1.0336,                0.89979,                0.92072,                0.94608,                0.62432,                 1.2297,                0.51166,                 1.6581,             0.00039883,             0.00039883,             0.00039883
                     87,                0.65488,                0.35567,                 1.0323,                0.88976,                0.93549,                0.92379,                0.61054,                 1.2462,                0.53282,                 1.6667,             0.00039839,             0.00039839,             0.00039839
                     88,                0.63878,                0.36316,                 1.0235,                 0.9123,                0.88737,                0.93306,                0.61025,                 1.2772,                0.52601,                 1.7054,             0.00039796,             0.00039796,             0.00039796
                     89,                0.63824,                0.35249,                  1.021,                 0.8575,                0.92477,                0.93143,                0.61798,                 1.2713,                0.53041,                 1.6722,             0.00039753,             0.00039753,             0.00039753
                     90,                0.63834,                0.35402,                  1.034,                0.88146,                0.88622,                0.92439,                0.61092,                 1.2769,                0.52777,                 1.6984,              0.0003971,              0.0003971,              0.0003971
                     91,                0.64455,                0.36239,                 1.0246,                0.86984,                0.92338,                0.91969,                 0.6081,                 1.2635,                0.55058,                 1.7014,             0.00039667,             0.00039667,             0.00039667
                     92,                0.62487,                0.34753,                 1.0071,                 0.8974,                0.88719,                0.92976,                0.61232,                 1.2388,                0.51602,                 1.6986,             0.00039624,             0.00039624,             0.00039624
                     93,                0.63048,                0.34833,                 1.0105,                0.87853,                0.90199,                0.93027,                0.60529,                 1.2626,                0.51921,                 1.6752,             0.00039581,             0.00039581,             0.00039581
                     94,                0.62378,                0.34227,                 1.0062,                0.89131,                0.92821,                0.94446,                0.60868,                 1.2776,                0.51994,                 1.7005,             0.00039538,             0.00039538,             0.00039538
                     95,                0.61662,                0.34022,                 1.0001,                0.90041,                0.91549,                0.93335,                0.61557,                 1.2537,                0.52294,                 1.6948,             0.00039495,             0.00039495,             0.00039495
                     96,                 0.6096,                0.33904,                 1.0038,                0.88404,                0.89994,                0.92084,                0.60655,                 1.2629,                0.53394,                 1.6852,             0.00039452,             0.00039452,             0.00039452
                     97,                0.60096,                0.33417,                0.98982,                0.91055,                0.87983,                0.91817,                0.62094,                 1.2579,                0.51815,                 1.6763,             0.00039409,             0.00039409,             0.00039409
                     98,                0.61273,                0.34067,                0.99494,                0.88033,                0.90034,                0.92004,                 0.6052,                 1.2724,                0.54854,                  1.724,             0.00039366,             0.00039366,             0.00039366
                     99,                0.63009,                0.34841,                 1.0188,                 0.8848,                0.92488,                0.92852,                0.61852,                 1.2464,                0.51892,                 1.6932,             0.00039323,             0.00039323,             0.00039323
                    100,                0.61159,                0.33949,                  1.011,                0.87939,                0.94017,                0.93342,                0.63529,                 1.2499,                0.52251,                  1.686,              0.0003928,              0.0003928,              0.0003928
                    101,                 0.5972,                0.33213,                0.99311,                0.85977,                0.92294,                0.92628,                0.63092,                 1.2287,                0.54211,                 1.6847,             0.00039237,             0.00039237,             0.00039237
                    102,                0.59966,                0.34251,                 1.0039,                0.87324,                0.91551,                0.93031,                0.61851,                 1.2389,                0.56398,                 1.7096,             0.00039193,             0.00039193,             0.00039193
                    103,                 0.5902,                0.33501,                0.99246,                0.89616,                 0.9129,                0.93601,                0.63421,                 1.2202,                0.53046,                 1.6744,              0.0003915,              0.0003915,              0.0003915
                    104,                0.59475,                0.33202,                      1,                0.88645,                0.89829,                0.93702,                0.62036,                 1.2518,                0.52561,                 1.6732,             0.00039107,             0.00039107,             0.00039107
                    105,                 0.5751,                0.32075,                0.98554,                0.91307,                0.88309,                0.92763,                0.61506,                 1.2365,                0.51822,                 1.6777,             0.00039064,             0.00039064,             0.00039064
                    106,                0.56817,                0.32627,                0.98361,                0.91861,                0.88936,                0.93177,                 0.6182,                 1.2532,                0.52377,                 1.7059,             0.00039021,             0.00039021,             0.00039021
                    107,                 0.5907,                0.32758,                 0.9905,                0.89385,                0.93679,                0.93307,                0.62443,                 1.2219,                0.51631,                 1.6585,             0.00038978,             0.00038978,             0.00038978
                    108,                0.58312,                0.32981,                0.99674,                0.90781,                0.91742,                0.94281,                0.62904,                 1.2188,                0.53233,                 1.6702,             0.00038935,             0.00038935,             0.00038935
                    109,                   0.59,                0.33292,                 1.0024,                0.89969,                0.92263,                0.93596,                 0.6131,                 1.2336,                0.51599,                 1.6921,             0.00038892,             0.00038892,             0.00038892
                    110,                0.57947,                0.32548,                0.98662,                0.90322,                0.93222,                0.94386,                0.63215,                 1.2595,                 0.5197,                 1.7195,             0.00038849,             0.00038849,             0.00038849
                    111,                0.59658,                0.33333,                0.99629,                0.92206,                0.91437,                0.93892,                0.61008,                 1.2485,                0.52266,                 1.6877,             0.00038806,             0.00038806,             0.00038806
                    112,                0.58904,                0.33039,                0.99746,                0.89377,                 0.9414,                0.93401,                0.63181,                  1.226,                0.50522,                 1.6849,             0.00038763,             0.00038763,             0.00038763
                    113,                0.57605,                0.32532,                0.97871,                0.89097,                0.93652,                0.93615,                0.63053,                 1.2297,                0.51545,                 1.6763,              0.0003872,              0.0003872,              0.0003872
                    114,                0.56491,                0.32015,                0.97217,                0.90167,                0.91907,                0.92545,                0.61796,                 1.2584,                0.52933,                 1.7402,             0.00038677,             0.00038677,             0.00038677
                    115,                0.56077,                0.31464,                0.97012,                0.90606,                0.88845,                0.92688,                0.62463,                 1.2028,                0.50365,                 1.7087,             0.00038634,             0.00038634,             0.00038634
                    116,                0.56084,                0.31454,                0.97719,                0.91004,                0.89554,                 0.9377,                0.63465,                 1.2073,                0.52041,                 1.6982,             0.00038591,             0.00038591,             0.00038591
                    117,                0.56102,                0.31492,                0.97954,                0.86461,                0.92119,                0.91751,                0.60956,                 1.2513,                0.54944,                  1.738,             0.00038548,             0.00038548,             0.00038548
                    118,                0.55948,                0.31625,                0.97541,                0.89595,                0.93784,                0.92472,                0.62091,                 1.2245,                0.53218,                 1.6892,             0.00038504,             0.00038504,             0.00038504
                    119,                0.56288,                0.31731,                0.97062,                0.88496,                0.92259,                0.91666,                0.60694,                 1.2367,                0.51429,                 1.6648,             0.00038461,             0.00038461,             0.00038461
                    120,                0.56394,                0.31662,                0.97476,                0.89557,                0.93787,                0.92333,                0.61865,                 1.2152,                0.49755,                  1.681,             0.00038418,             0.00038418,             0.00038418
                    121,                0.55257,                0.31023,                  0.971,                0.93115,                0.91638,                0.94765,                 0.6174,                 1.2631,                0.52193,                 1.7073,             0.00038375,             0.00038375,             0.00038375
                    122,                0.54215,                0.30849,                0.96523,                0.88933,                0.93453,                0.93983,                0.64257,                  1.251,                0.51679,                 1.7092,             0.00038332,             0.00038332,             0.00038332
                    123,                0.54196,                0.30431,                0.97222,                0.87771,                0.91407,                0.93621,                 0.6249,                 1.2519,                0.50601,                 1.7281,             0.00038289,             0.00038289,             0.00038289
                    124,                0.55915,                0.31145,                0.96949,                0.83791,                0.93527,                0.92014,                0.61361,                 1.2543,                0.50408,                 1.7102,             0.00038246,             0.00038246,             0.00038246
                    125,                0.54418,                0.30907,                0.97189,                 0.8838,                0.91351,                0.90843,                 0.6162,                 1.2198,                0.51737,                  1.685,             0.00038203,             0.00038203,             0.00038203
                    126,                0.54685,                0.31629,                0.96874,                0.89067,                0.89339,                0.92467,                0.62591,                  1.238,                0.53215,                  1.737,              0.0003816,              0.0003816,              0.0003816
                    127,                0.53807,                0.30617,                0.96134,                0.91742,                0.91096,                0.92938,                0.62787,                 1.2269,                0.49917,                 1.7131,             0.00038117,             0.00038117,             0.00038117
                    128,                0.53695,                0.30693,                0.96173,                0.89207,                0.89397,                0.92848,                 0.6229,                 1.2481,                0.51309,                 1.7147,             0.00038074,             0.00038074,             0.00038074
                    129,                0.54038,                0.30499,                0.96269,                0.87534,                0.90542,                0.92227,                0.61553,                 1.2646,                0.52978,                 1.7301,             0.00038031,             0.00038031,             0.00038031
                    130,                0.53833,                0.30707,                 0.9578,                0.90264,                0.87556,                0.91949,                0.60843,                 1.2468,                0.51653,                 1.7287,             0.00037988,             0.00037988,             0.00037988
